Twenty	NUM	twenty
Inman	PROPN	Inman
line	NOUN	line
and	CCONJ	and
the	DET	the
monster	NOUN	monster
,	PUNCT	,
a	X	a
_	PUNCT	_
procès	X	procès
verbal	X	verbal
_	PUNCT	_
directed	VERB	direct
by	ADP	by
the	DET	the
officers	NOUN	officer
of	ADP	of
the	DET	the
French	ADJ	french
frigate	NOUN	frigate
_	PUNCT	_
Normandie	PROPN	Normandie
_	PUNCT	_
,	PUNCT	,
a	DET	a
very	ADV	very
accurate	ADJ	accurate
survey	NOUN	survey
made	VERB	make
by	ADP	by
the	DET	the
staff	NOUN	staff
of	ADP	of
Commodore	PROPN	Commodore
Fitz	PROPN	Fitz
-	PUNCT	-
James	PROPN	James
on	ADP	on
board	NOUN	board
the	DET	the
_	PUNCT	_
Lord	PROPN	Lord
Clyde	PROPN	Clyde
_	PUNCT	_
,	PUNCT	,
greatly	ADV	greatly
influenced	VERB	influence
public	NOUN	public
opinion	NOUN	opinion
.	PUNCT	.
Light	ADV	light
-	PUNCT	-
thinking	VERB	think
people	NOUN	people
jested	VERB	jest
upon	SCONJ	upon
the	DET	the
phenomenon	NOUN	phenomenon
,	PUNCT	,
but	CCONJ	but
grave	ADJ	grave
practical	ADJ	practical
countries	NOUN	country
,	PUNCT	,
such	ADJ	such
as	ADP	as
England	PROPN	England
,	PUNCT	,
America	PROPN	America
,	PUNCT	,
and	CCONJ	and
Germany	PROPN	Germany
,	PUNCT	,
treated	VERB	treat
the	DET	the
matter	NOUN	matter
more	ADV	more
seriously	ADV	seriously
.	PUNCT	.
In	ADP	in
every	DET	every
place	NOUN	place
of	ADP	of
great	ADJ	great
resort	NOUN	resort
the	DET	the
monster	NOUN	monster
was	AUX	be
the	DET	the
fashion	NOUN	fashion
.	PUNCT	.
They	PRON	they
sang	VERB	sing
of	ADP	of
it	PRON	it
in	ADP	in
the	DET	the
cafés	NOUN	café
,	PUNCT	,
ridiculed	VERB	ridicule
it	PRON	it
in	ADP	in
the	DET	the
papers	NOUN	paper
,	PUNCT	,
and	CCONJ	and
represented	VERB	represent
it	PRON	it
on	ADP	on
the	DET	the
stage	NOUN	stage
.	PUNCT	.
All	DET	all
kinds	NOUN	kind
of	ADP	of
stories	NOUN	story
were	AUX	be
circulated	VERB	circulate
regarding	VERB	regard
it	PRON	it
.	PUNCT	.
There	PRON	there
appeared	VERB	appear
in	ADP	in
the	DET	the
papers	NOUN	paper
caricatures	NOUN	caricature
of	ADP	of
every	DET	every
gigantic	ADJ	gigantic
and	CCONJ	and
imaginary	ADJ	imaginary
creature	NOUN	creature
,	PUNCT	,
from	ADP	from
the	DET	the
white	ADJ	white
whale	NOUN	whale
,	PUNCT	,
the	DET	the
terrible	ADJ	terrible
“	PUNCT	""""
Moby	PROPN	Moby
Dick	PROPN	Dick
”	PUNCT	""""
of	ADP	of
hyperborean	NOUN	hyperborean
regions	NOUN	region
,	PUNCT	,
to	ADP	to
the	DET	the
immense	ADJ	immense
kraken	NOUN	kraken
whose	DET	whose
tentacles	NOUN	tentacle
could	AUX	could
entangle	VERB	entangle
a	DET	a
ship	NOUN	ship
of	ADP	of
five	NUM	five
hundred	NUM	hundred
tons	NOUN	ton
,	PUNCT	,
and	CCONJ	and
hurry	VERB	hurry
it	PRON	it
into	ADP	into
the	DET	the
abyss	NOUN	abyss
of	ADP	of
the	DET	the
ocean	NOUN	ocean
.	PUNCT	.
The	DET	the
legends	NOUN	legend
of	ADP	of
ancient	ADJ	ancient
times	NOUN	time
were	AUX	be
even	ADV	even
resuscitated	VERB	resuscitate
,	PUNCT	,
and	CCONJ	and
the	DET	the
opinions	NOUN	opinion
of	ADP	of
Aristotle	PROPN	Aristotle
and	CCONJ	and
Pliny	PROPN	Pliny
revived	VERB	revive
,	PUNCT	,
who	PRON	who
admitted	VERB	admit
the	DET	the
existence	NOUN	existence
of	ADP	of
these	DET	these
monsters	NOUN	monster
,	PUNCT	,
as	ADV	as
well	ADV	well
as	ADP	as
the	DET	the
